,cleanName,NAME,Type,valid,parkDistrict_x,parkDistrict_y,geometry
111,van cortlandt park,van cortlandt park,park_direct,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
112,inwood hill park,inwood hill park,park_direct,av,,M-12,POINT (-73.92551288356847 40.87256008428427)
113,riverside park - skate park,riverside park,other,av,,M-14,POINT (-73.95365809523385 40.82606986895416)
114,riverside park - skate park,riverside park,other,av,,M-14,POINT (-73.97456126834187 40.79883352294459)
115,ranaqua park,ranaqua park,park_direct,av,,X-01,POINT (-73.9221805757098 40.80671257032755)
116,russell pederson playground,russell pederson playground,pgs,av,,B-10,POINT (-74.0361 40.62639999999984)
117,marcus garvey park,marcus garvey park,park_direct,av,,M-11,POINT (-73.94366947479013 40.80448551600962)
118,sol  bloom playground,sol bloom playground,pgs,av,,M-07,POINT (-73.9688 40.78969999999983)
119,cabbell park and cambria playground,cambria playground,other,v,,Q-13,POINT (-73.742929548405 40.68914232856481)
120,booker t washington playground,booker t washington playground,pgs,av,,M-07,POINT (-73.9628 40.80119999999984)
121,flushing meadows corona park,flushing meadows corona park,park_direct,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
122,williamsbridge oval,williamsbridge oval,park_direct,av,,X-07,POINT (-73.87738571642642 40.87762743958928)
123,beach - midland,midland beach and franklin d. roosevelt boardwalk,beach,v,,R-02,POINT (-74.0878 40.56939999999984)
124,recreation center - fort hamilton senior center,fort hamilton triangle,other,v,,B-10,POINT (-74.03077411689216 40.61639855661246)
125,high line park,the high line,other,v,,M-04,POINT (-74.00567326468236 40.74568633758109)
126,macneil park,macneil park,park_direct,av,,Q-07,POINT (-73.85170667603285 40.7930595807903)
127,battery park,battery park,park_direct,av,,M-01,POINT (-74.01550351831341 40.70287837099611)
128,john j carty park,john j carty park,park_direct,av,,B-10,POINT (-74.0301590634481 40.61327181727972)
129,crotona park - crotona tennis house and courts,crotona park,empiric,av,,X-03,POINT (-73.89489523245744 40.83858538262999)
130,pool - flushing meadows and corona park,flushing meadows corona park,empiric,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
131,pelham bay park,pelham bay park,park_direct,av,,X-11,POINT (-73.80420185645582 40.8681072084011)
132,midland beach - playland playground,midland beach playground,pgs,av,,R-02,POINT (-74.0844 40.57429999999984)
133,aqueduct walk,aqueduct walk,park_direct,av,,X-07,POINT (-73.90216177321257 40.86512705074772)
134,aqueduct walk,aqueduct walk,park_direct,av,,X-05,POINT (-73.9092042331423 40.856691867952)
135,inwood hill park - nature center,inwood hill park,empiric,av,,M-12,POINT (-73.92551288356847 40.87256008428427)
136,pool - ps 186 playground,ps 186 playground pool,pool,v,,Q-13,POINT (-73.7206 40.74979999999984)
137,utopia playground,utopia playground,park_direct,av,,Q-08,POINT (-73.7927763200222 40.73072572961178)
